Eurovision Song Contest 2016 Second Semi-Final;;;;;;;;;;
From country;To country;Jury A;Jury B;Jury C;Jury D;Jury E;Jury Rank;Televote Rank;Jury Points;Televote Points
Latvia;Albania;8;13;8;14;15;13;17;"
";"
"
Latvia;Belgium;11;7;9;8;3;7;5;4;6
Lithuania;Latvia;4;4;5;3;5;4;1;7;12
Lithuania;Poland;7;14;9;8;13;8;4;3;7
Lithuania;Switzerland;15;9;15;12;16;16;13;"
";"
"
Lithuania;Israel;6;5;4;6;6;5;12;6;"
"
Lithuania;Belarus;9;15;14;10;11;12;5;"
";6
Lithuania;Serbia;16;10;13;11;10;13;17;"
";"
"
Lithuania;Ireland;14;12;10;13;14;15;10;"
";1
Lithuania;F.Y.R. Macedonia;17;17;17;15;17;17;15;"
";"
"
Lithuania;Australia;1;2;2;2;1;1;6;12;5
Lithuania;Slovenia;10;7;12;14;15;10;14;1;"
"
Lithuania;Bulgaria;11;13;16;5;9;9;8;2;3
Lithuania;Denmark;13;16;8;16;8;14;11;"
";"
"
Lithuania;Ukraine;2;1;3;7;3;3;2;8;10
Lithuania;Norway;8;6;6;9;12;7;9;4;2
Lithuania;Georgia;3;3;1;1;2;2;3;10;8
Lithuania;Albania;12;11;11;17;7;11;16;"
";"
"
Lithuania;Belgium;5;8;7;4;4;6;7;5;4
Norway;Latvia;10;11;9;12;7;9;8;2;3
Norway;Poland;1;5;10;15;4;7;2;4;10
Norway;Switzerland;12;6;11;11;17;14;17;"
";"
"
Norway;Israel;16;1;3;3;10;6;10;5;1
Norway;Belarus;9;9;14;10;13;13;12;"
";"
"
Norway;Serbia;15;17;13;16;8;15;13;"
";"
"
Norway;Ireland;6;4;12;6;11;8;9;3;2
Norway;F.Y.R. Macedonia;17;16;17;17;15;17;14;"
";"
"
Norway;Lithuania;3;10;2;2;5;3;1;8;12
Norway;Australia;5;3;5;1;3;1;3;12;8
Norway;Slovenia;13;13;8;8;9;11;15;"
";"
"
Norway;Bulgaria;2;2;4;9;2;2;5;10;6
Norway;Denmark;11;7;16;7;14;12;6;"
";5
Norway;Ukraine;8;12;6;4;1;5;7;6;4
Norway;Georgia;7;15;7;14;6;10;11;1;"
"
Norway;Albania;14;14;15;13;16;16;16;"
";"
"
Norway;Belgium;4;8;1;5;12;4;4;7;7
Poland;Latvia;10;6;6;10;5;5;6;6;5
Poland;Switzerland;16;13;17;15;16;17;15;"
";"
"
Poland;Israel;2;12;4;2;7;3;13;8;"
"
Poland;Belarus;11;3;5;14;9;7;3;4;8
Poland;Serbia;14;7;8;11;6;10;16;1;"
"
Poland;Ireland;17;16;10;17;12;15;9;"
";2
Poland;F.Y.R. Macedonia;12;4;15;13;8;13;14;"
";"
"
Poland;Lithuania;6;5;9;6;17;8;8;3;3
Poland;Australia;3;1;3;3;2;2;2;10;10
Poland;Slovenia;8;14;7;8;10;11;12;"
";"
"
Poland;Bulgaria;5;15;13;4;3;6;7;5;4
Poland;Denmark;15;17;16;16;11;16;10;"
";1
Poland;Ukraine;1;2;1;1;1;1;1;12;12
Poland;Norway;7;11;11;7;15;12;11;"
";"
"
Poland;Georgia;9;9;2;9;4;4;4;7;7
Poland;Albania;13;8;14;12;13;14;17;"
";"
"
Poland;Belgium;4;10;12;5;14;9;5;2;6
Serbia;Latvia;14;15;5;11;10;11;13;"
";"
"
Serbia;Poland;13;14;13;5;9;10;10;1;1
Serbia;Switzerland;17;9;12;9;13;14;15;"
";"
"
Serbia;Israel;5;3;3;6;6;4;12;7;"
"
Serbia;Belarus;12;13;15;16;14;15;6;"
";5
Serbia;Ireland;8;16;16;13;17;16;17;"
";"
"
Serbia;F.Y.R. Macedonia;1;2;1;1;2;1;1;12;12
Serbia;Lithuania;7;8;6;8;3;6;11;5;"
"
Serbia;Australia;6;11;8;7;11;7;4;4;7
Serbia;Slovenia;9;4;4;4;8;5;7;6;4
Serbia;Bulgaria;11;10;11;10;7;9;3;2;8
Serbia;Denmark;16;17;17;17;16;17;14;"
";"
"
Serbia;Ukraine;2;1;9;2;1;2;5;10;6
Serbia;Norway;15;6;7;12;15;13;8;"
";3
Serbia;Georgia;4;5;10;15;12;8;9;3;2
Serbia;Albania;3;7;2;3;4;3;16;8;"
"
Serbia;Belgium;10;12;14;14;5;12;2;"
";10
Slovenia;Latvia;1;4;6;4;6;2;12;10;"
"
Slovenia;Poland;5;6;14;11;1;8;7;3;4
Slovenia;Switzerland;2;11;4;8;5;4;17;7;"
"
Slovenia;Israel;7;7;12;5;4;7;15;4;"
"
Slovenia;Belarus;13;10;10;6;2;9;16;2;"
"
Slovenia;Serbia;11;8;7;7;12;11;1;"
";12
Slovenia;Ireland;15;14;5;13;13;13;11;"
";"
"
Slovenia;F.Y.R. Macedonia;16;13;17;14;14;16;2;"
";10
Slovenia;Lithuania;10;12;11;9;3;10;14;1;"
"
Slovenia;Australia;9;9;3;3;10;6;5;5;6
Slovenia;Bulgaria;4;5;13;2;9;5;6;6;5
Slovenia;Denmark;17;16;16;15;15;17;13;"
";"
"
Slovenia;Ukraine;8;1;1;10;7;3;3;8;8
Slovenia;Norway;12;15;9;12;16;14;9;"
";2
Slovenia;Georgia;14;3;8;17;17;12;10;"
";1
Slovenia;Albania;6;17;15;16;11;15;8;"
";3
Slovenia;Belgium;3;2;2;1;8;1;4;12;7
Switzerland;Latvia;8;3;8;3;4;5;13;6;"
"
Switzerland;Poland;11;16;7;13;14;13;4;"
";7
Switzerland;Israel;1;5;2;2;5;2;14;10;"
"
Switzerland;Belarus;3;12;17;11;11;10;16;1;"
"
Switzerland;Serbia;12;7;16;10;6;8;1;3;12
Switzerland;Ireland;9;15;12;16;16;15;9;"
";2
Switzerland;F.Y.R. Macedonia;17;17;15;14;12;17;7;"
";4
Switzerland;Lithuania;2;6;1;7;2;3;11;8;"
"
Switzerland;Australia;7;2;4;1;1;1;5;12;6
Switzerland;Slovenia;16;11;10;15;13;14;17;"
";"
"
Switzerland;Bulgaria;6;8;3;9;10;7;8;4;3
Switzerland;Denmark;10;13;11;17;17;16;10;"
";1
Switzerland;Ukraine;5;9;5;5;7;6;6;5;5
Switzerland;Norway;13;14;13;6;8;9;12;2;"
"
Switzerland;Georgia;15;4;9;12;15;11;15;"
";"
"
Switzerland;Albania;14;10;14;8;9;12;2;"
";10
Switzerland;Belgium;4;1;6;4;3;4;3;7;8
Ukraine;Latvia;8;3;7;6;4;5;8;6;3
Ukraine;Poland;10;12;12;8;11;10;1;1;12
Ukraine;Switzerland;13;11;16;7;13;14;16;"
";"
"
Ukraine;Israel;5;6;5;4;2;4;9;7;2
Ukraine;Belarus;9;7;4;9;10;6;2;5;10
Ukraine;Serbia;6;5;11;11;15;8;14;3;"
"
Ukraine;Ireland;7;10;6;16;9;9;13;2;"
"
Ukraine;F.Y.R. Macedonia;17;17;17;17;16;17;15;"
";"
"
Ukraine;Lithuania;2;4;3;5;5;3;5;8;6
Ukraine;Australia;1;2;2;3;1;1;4;12;7
Ukraine;Slovenia;11;9;13;14;12;13;12;"
";"
"
Ukraine;Bulgaria;12;8;15;15;6;11;6;"
";5
Ukraine;Denmark;16;14;10;10;14;15;11;"
";"
"
Ukraine;Norway;15;13;9;13;8;12;10;"
";1
Ukraine;Georgia;3;16;14;1;7;7;3;4;8
Ukraine;Albania;14;15;8;12;17;16;17;"
";"
"
Ukraine;Belgium;4;1;1;2;3;2;7;10;4
United Kingdom;Latvia;5;14;7;12;16;11;6;"
";5
United Kingdom;Poland;8;16;11;14;5;12;2;"
";10
United Kingdom;Switzerland;17;10;8;9;17;16;18;"
";"
"
United Kingdom;Israel;1;15;9;6;13;7;9;4;2
United Kingdom;Belarus;16;8;2;11;9;8;13;3;"
"
United Kingdom;Serbia;12;13;17;7;11;15;17;"
";"
"
United Kingdom;Ireland;6;5;5;18;15;9;4;2;7
United Kingdom;F.Y.R. Macedonia;18;18;18;16;18;18;14;"
";"
"
United Kingdom;Lithuania;3;4;4;8;7;3;1;8;12
United Kingdom;Australia;2;3;6;2;8;2;5;10;6
United Kingdom;Slovenia;10;9;16;10;12;13;15;"
";"
"
United Kingdom;Bulgaria;4;11;10;5;3;6;3;5;8
United Kingdom;Denmark;13;17;13;17;14;17;11;"
";"
"
United Kingdom;Ukraine;15;7;1;4;6;5;8;6;3
United Kingdom;Norway;9;6;12;15;10;10;12;1;"
"
United Kingdom;Georgia;7;2;3;1;1;1;10;12;1
United Kingdom;Albania;14;12;14;13;4;14;16;"
";"
"
United Kingdom;Belgium;11;1;15;3;2;4;7;7;4
